rowname,mean,sd,min,max,ICC,RSC,PHC,pAG,aAG,pHipp,Prec,PCC,MPFC,SCENE,COLOR
RSC,0.04892458277260399,0.16962461632830098,-0.566766318250448,0.808395391651429,0.138,,,,,,,,,,
PHC,-0.028243294684660823,0.18089227058600277,-0.76328639585292,1.04804655887652,0.155,0.3243663902382793,,,,,,,,,
pAG,-0.006617194253249144,0.3153849118795408,-1.29206022651866,1.23199628796428,0.138,0.29599899958562614,0.32965594814303056,,,,,,,,
aAG,0.18754897401384155,0.35170936449609047,-1.34616080518812,1.64791926022619,0.184,0.29562551840803314,0.11939843479540384,0.29539395866530677,,,,,,,
pHipp,0.07719755597409904,0.15579462208413578,-0.614366326062009,1.18177377631888,0.022,0.19091627746208742,0.18378682426439616,0.1349547386955523,0.27635593160689986,,,,,,
Prec,0.11555592942840746,0.21540467143197806,-0.923288250230253,0.971126164607704,0.123,0.32585144372817026,0.2648009452906366,0.24741245372297235,0.35648596232233737,0.28490208979602094,,,,,
PCC,0.14436721176907139,0.21846412626223485,-0.613519562175497,1.04441331379116,0.142,0.2824690112480149,0.173170482910967,0.1892556159095809,0.4184522172648177,0.2826834728350212,0.4097309713539729,,,,
MPFC,0.13497213621701254,0.27877178528896673,-1.17608385793865,1.30767554033548,0.036,0.16192692271420633,0.10064653779189978,0.06583983415227572,0.34199878332627875,0.28492942763087026,0.281530809284911,0.4016278590894338,,,
SCENE,0.6754115226337448,0.4682811108253223,0,1,0.205,0.1943785082571645,0.13003732417834027,0.085732518341717,0.05037059432701806,0.051402220153804704,0.09428567914744398,0.0549315746310875,-0.02625718508684102,,
COLOR,0.7235082304526749,0.4473203950426389,0,1,0.135,0.070241264116371,0.04597518525007698,0.024127807070506622,0.04603531035592737,0.032423019542441416,0.08079662701622888,0.06115402214307964,-0.033277743401998273,0.25063038596311454,
SOUND,0.7577160493827161,0.42852032360598735,0,1,0.118,0.090695530776248,0.07013789546829863,0.03443543946654008,0.038761250966706684,0.06594238931594562,0.09879506086817205,0.07842328985635122,0.020550333622579728,0.22851086448986138,0.16983980328869042
